DBN,School Name,# of Comp Sci Courses,# of AP Comp Sci Courses,# of Full CS Courses,# of Partial CS Courses,latitude,longitude
01M140,P.S. 140 Nathan Straus,5,0,0,5,40.7189203,-73.9834115
01M301,"Technology, Arts, and Sciences Studio",2,0,2,0,40.7298853,-73.98434619999999
01M450,East Side Community School,4,1,4,0,40.7292826,-73.98244729999999
01M515,Lower East Side Preparatory High School,2,0,2,0,40.7202556,-73.9862564
01M539,"New Explorations into Science, Technology and Math",2,2,2,0,40.7195002,-73.9792392
02M006,P.S. 006 Lillie D. Blake,6,0,0,6,40.7776435,-73.96055009999999
02M059,P.S. 059 Beekman Hill International,1,0,0,1,40.7591733,-73.9666537
02M089,P.S. 89,5,0,1,4,40.8625617,-73.8591383
02M126,P.S. 126 Jacob August Riis,3,0,0,3,40.710363,-73.9967171
02M150,P.S. 150,4,0,0,4,40.7180827,-74.010942
02M217,P.S./I.S. 217 Roosevelt Island,6,0,6,0,40.7638549,-73.9481811
02M255,M.S. 255 Salk School of Science,1,0,0,1,40.7354652,-73.981432
02M267,"East Side Elementary School, PS 267",1,0,0,1,40.763929,-73.963948
02M282,Urban Assembly Maker Academy,11,0,9,2,40.7110242,-74.0016572
02M294,Essex Street Academy,1,1,1,0,40.717321,-73.989323
02M296,High School of Hospitality Management,1,0,1,0,40.7655356,-73.9931625
02M394,Emma Lazarus High School,1,0,1,0,40.71651869999999,-73.993222
02M399,The High School For Language And Diplomacy,3,1,3,0,40.7353237,-73.98708119999999
02M400,High School for Environmental Studies,5,1,5,0,40.7679759,-73.9881796
02M412,N.Y.C. Lab School for Collaborative Studies,1,1,1,0,40.7425709,-74.0023709
02M413,School of the Future High School,2,0,1,1,40.7390867,-73.9853658
02M420,High School for Health Professions and Human Servi,7,1,6,1,40.7325522,-73.98267229999999
02M437,Hudson High School of Learning Technologies,3,1,3,0,40.7432238,-74.0024232
02M439,Manhattan Village Academy,2,1,2,0,40.74191870000001,-73.9922938
02M449,Vanguard High School,3,0,2,1,40.7654,-73.9597
02M475,Stuyvesant High School,8,1,8,0,40.7178149,-74.0138422
02M507,Urban Assembly Gateway School for Technology,5,0,5,0,40.7639937,-73.9904866
02M520,Murry Bergtraum High School for Business Careers,1,1,1,0,40.7113104,-74.0018829
02M542,Manhattan Bridges High School,3,1,1,2,40.7652446,-73.99273749999999
02M543,New Design High School,1,0,1,0,40.7169904,-73.9896241
02M546,Academy for Software Engineering,5,2,5,0,40.735543,-73.987478
02M600,The High School of Fashion Industries,1,1,1,0,40.7454593,-73.9965165
02M605,Humanities Preparatory Academy,1,1,1,0,40.74375819999999,-74.0026697
02M615,Chelsea Career and Technical Education High School,1,1,1,0,40.7245689,-74.0048241
02M896,Lower Manhattan Community Middle School,3,0,2,1,40.7053252,-74.0129456
03M084,P.S. 084 Lillian Weber,5,0,0,5,40.78944,-73.96769060000001
03M180,P.S. 180 Hugo Newman,1,0,0,1,40.8077236,-73.9560316
03M185,P.S. 185 - The Early Childhood Discovery and Desig,3,0,0,3,40.7984705,-73.950101
03M245,M.S. M245 The Computer School,3,0,3,0,40.7809964,-73.9777601
03M307,"Urban Assembly School for Media Studies, The",1,0,1,0,40.7747793,-73.98472000000001
03M334,The Anderson School,1,0,1,0,40.7810978,-73.97809649999999
03M403,The Global Learning Collaborative,2,0,2,0,40.785992,-73.9743724
03M417,Frank Mccourt High School,3,0,2,1,40.785861,-73.9745414
03M485,Fiorello H. LaGuardia High School of Music & Art a,2,1,2,0,40.7741265,-73.98549249999999
03M492,"High School for Law, Advocacy and Community Justic",1,0,1,0,40.7747793,-73.98472000000001
04M012,Tag Young Scholars,6,0,0,6,40.7924857,-73.9417246
04M102,P.S. 102 Jacques Cartier,4,0,0,4,40.7949388,-73.9383074
04M206,P.S. 206 Jose Celso Barbosa,4,0,0,4,40.7969927,-73.93023149999999
04M377,Renaissance School of the Arts,3,0,0,3,40.7974,-73.9364
04M406,Global Technology Preparatory,1,0,1,0,40.80079509999999,-73.93932319999999
04M435,Manhattan Center for Science and Mathematics,3,1,3,0,40.7943534,-73.93297629999999
04M555,Central Park East High School,1,0,1,0,40.7936899,-73.9491583
04M610,Young Women's Leadership School,1,0,1,0,40.7929,-73.9472
05M046,P.S. 046 Arthur Tappan,6,0,6,0,40.7453332,-73.7578671
05M092,P.S. 092 Mary McLeod Bethune,1,0,0,1,40.815109,-73.9455558
05M499,Frederick Douglass Academy,4,1,4,0,40.8242,-73.9368
05M692,"High School for Mathematics, Science and Engineeri",3,1,3,0,40.8214739,-73.94903889999999
06M018,P.S. 018 Park Terrace,4,0,0,4,40.871664,-73.91150929999999
06M048,P.S. 048 P.O. Michael J. Buczek,6,0,6,0,40.8533418,-73.9337859
06M128,P.S. 128 Audubon,6,0,0,6,40.84098789999999,-73.93862000000001
06M423,High School for Excellence and Innovation,1,0,1,0,40.8659143,-73.925157
06M468,High School for Health Careers and Sciences,1,0,1,0,40.8558937,-73.9260333
06M552,Gregorio Luperon High School for Science and Mathe,2,1,2,0,40.8382264,-73.93853560000001
07X018,P.S. 018 John Peter Zenger,1,0,0,1,40.816462,-73.9229205
07X029,P.S./M.S. 029 Melrose School,2,0,2,0,40.8214439,-73.91697239999999
07X065,P.S. 065 Mother Hale Academy,2,0,0,2,40.8076622,-73.91274299999999
07X154,P.S. 154 Jonathan D. Hyatt,1,0,0,1,40.8079487,-73.925564
07X157,P.S. 157 Grove Hill,6,0,0,6,40.8193893,-73.9091997
07X161,P.S. 161 Juan Ponce De Leon School,1,0,0,1,40.81459419999999,-73.90496060000001
07X223,M.S. 223 The Laboratory School of Finance and Tech,8,1,8,0,40.813829,-73.920879
07X334,International Community High School,6,1,6,0,40.8099356,-73.9180756
07X495,University Heights Secondary School,8,0,6,2,40.818134,-73.91147459999999
08X014,P.S. X014 Senator John Calandra,6,0,6,0,40.8352246,-73.82584779999999
08X123,J.H.S. 123 James M. Kieran,3,0,3,0,40.8251091,-73.87380739999999
08X293,Renaissance High School for Musical Theater & Tech,2,0,0,2,40.8401731,-73.8393567
08X305,Pablo Neruda Academy,1,1,1,0,40.8213444,-73.85567329999999
08X312,Millennium Art Academy,1,1,1,0,40.8211726,-73.8567899
08X367,"Archimedes Academy for Math, Science and Technolog",6,0,5,1,40.8149051,-73.8560261
08X371,Urban Institute of Mathematics,1,0,0,1,40.8270425,-73.8186564
08X376,Antonia Pantoja Preparatory Academy: A College Boa,3,0,3,0,40.8214002,-73.8556869
08X405,Herbert H. Lehman High School,2,1,2,0,40.8393054,-73.8388986
08X452,Bronx Guild,1,1,1,0,40.821999,-73.855774
08X537,Bronx Arena High School,2,2,2,0,40.8207637,-73.88080350000001
08X561,Bronx Compass High School,3,0,3,0,40.8213228,-73.855699
09X199,P.S. 199X - The Shakespeare School,4,0,0,4,40.843466,-73.92079629999999
09X231,Eagle Academy for Young Men,6,1,6,0,40.845264,-73.897176
09X241,Urban Assembly School for Applied Math and Science,2,0,2,0,40.8394571,-73.9018947
09X250,Eximius College Preparatory Academy: A College Boa,1,1,1,0,40.8339407,-73.9025746
09X260,Bronx Center for Science and Mathematics,1,1,1,0,40.8339721,-73.9027472
09X324,Bronx Early College Academy for Teaching & Learnin,2,1,2,0,40.8281781,-73.91755789999999
09X327,Comprehensive Model School Project M.S. 327,1,0,1,0,40.8432195,-73.9160047
09X329,DreamYard Preparatory School,1,0,1,0,40.8396259,-73.9113888
09X365,Academy for Language and Technology,6,0,6,0,40.8493122,-73.91565299999999
09X403,Bronx International High School,1,1,1,0,40.8271913,-73.9040046
09X525,Bronx Leadership Academy High School,1,1,1,0,40.8434287,-73.90310939999999
09X543,High School for Violin and Dance,1,1,1,0,40.8273033,-73.9045097
09X555,Mount Eden Children's Academy,6,0,0,6,40.8429529,-73.91618179999999
09X568,Young Women's Leadership School of the Bronx,1,0,1,0,40.8485793,-73.90874579999999
10X015,P.S. X015 Institute for Environmental Learning,1,0,0,1,40.8590452,-73.9098589
10X020,"P.S./M.S. 20 P.O.George J. Werdann, III",1,0,0,1,40.8696205,-73.87907349999999
10X032,P.S. 032 Belmont,5,0,2,3,40.8518895,-73.88596410000001
10X045,Thomas C. Giordano Middle School 45,2,0,2,0,40.8583569,-73.8873259
10X086,P.S. 086 Kingsbridge Heights,6,0,6,0,40.8698472,-73.8982631
10X159,P.S. 159 Luis Munoz Marin Biling,6,0,4,2,40.8555172,-73.8932821
10X209,P.S. 209,3,0,0,3,40.7837142,-73.7950273
10X213,Bronx Engineering and Technology Academy,3,1,3,0,40.8772375,-73.9125281
